Win,location,WinOverall,LossOverall,WinOverall_opponent,LossOverall_opponent,Date,Season,Team,Opponent,gameNum,opponentGameNum,conference,conference_opponent,interconference,GameType
1,H,14.0,8.0,14.0,8.0,2011-02-01,2011,Colorado,IowaState,20.0,23.0,Pac 12,Big 12,True,PostSeasonConferenceTournament
0,A,3.0,6.0,9.0,2.0,2010-12-19,2011,Dartmouth,IowaState,7.0,12.0,Ivy,Big 12,True,RegularSeason
0,H,5.0,4.0,7.0,2.0,2010-12-10,2011,Iowa,IowaState,8.0,10.0,Big 10,Big 12,True,RegularSeason
1,A,15.0,0.0,13.0,3.0,2011-01-12,2011,Kansas,IowaState,14.0,17.0,Big 12,Big 12,False,RegularSeason
1,H,23.0,1.0,14.0,10.0,2011-02-12,2011,Kansas,IowaState,23.0,25.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,A,15.0,8.0,14.0,9.0,2011-02-05,2011,KansasState,IowaState,19.0,24.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,H,16.0,3.0,14.0,5.0,2011-01-22,2011,Missouri,IowaState,16.0,20.0,SEC,Big 12,True,RegularSeason
1,A,20.0,6.0,14.0,12.0,2011-02-19,2011,Missouri,IowaState,23.0,27.0,SEC,Big 12,True,PostSeasonConferenceTournament
1,H,12.0,2.0,13.0,2.0,2011-01-08,2011,Nebraska,IowaState,12.0,16.0,Big 10,Big 12,True,RegularSeason
0,A,18.0,9.0,14.0,14.0,2011-02-26,2011,Nebraska,IowaState,25.0,29.0,Big 10,Big 12,True,PostSeasonConferenceTournament
1,A,10.0,9.0,14.0,7.0,2011-01-29,2011,Oklahoma,IowaState,14.0,22.0,Big 12,Big 12,False,RegularSeason
1,H,13.0,4.0,14.0,4.0,2011-01-19,2011,OklahomaState,IowaState,17.0,19.0,Big 12,Big 12,False,RegularSeason
0,A,0.0,8.0,6.0,2.0,2010-12-06,2011,SoutheastMissouriState,IowaState,7.0,9.0,OVC,Big 12,True,RegularSeason
1,H,23.0,4.0,14.0,13.0,2011-02-22,2011,Texas,IowaState,24.0,28.0,Big 12,Big 12,False,PostSeasonConferenceTournament
1,H,19.0,5.0,14.0,11.0,2011-02-16,2011,TexasAM,IowaState,21.0,26.0,SEC,Big 12,True,PostSeasonConferenceTournament
0,A,1.0,6.0,8.0,2.0,2010-12-12,2011,TexasSouthern,IowaState,8.0,11.0,SWAC,Big 12,True,RegularSeason
